time_sec,motion,volume,stillness_score,label
0.00,0.04241,nan,nan,Noisy
0.04,0.026258,nan,nan,Noisy
0.07,0.008505,nan,nan,Noisy
0.11,0.00387,nan,nan,Noisy
0.15,0.003268,nan,nan,Noisy
0.18,0.00282,0.0,0.99718,Silent
0.22,0.002819,0.0,0.997181,Silent
0.25,0.002623,0.0,0.997377,Silent
0.29,0.002803,0.0,0.997197,Silent
0.33,0.002607,0.0,0.997393,Silent
0.36,0.002753,0.0,0.997247,Silent
0.40,0.002562,0.0,0.997438,Silent
0.44,0.002788,0.0,0.997212,Silent
0.47,0.002605,0.0,0.997395,Silent
0.51,0.002756,0.0,0.997244,Silent
0.55,0.002557,0.0,0.997443,Silent
0.58,0.002788,0.0,0.997212,Silent
0.62,0.002605,0.0,0.997395,Silent
0.65,0.002756,0.0,0.997244,Silent
0.69,0.002557,0.0,0.997443,Silent
0.73,0.002788,0.0,0.997212,Silent
0.76,0.002605,0.0,0.997395,Silent
0.80,0.002756,0.0,0.997244,Silent
0.84,0.002557,0.0,0.997443,Silent
0.87,0.002788,0.0,0.997212,Silent
0.91,0.002605,0.0,0.997395,Silent
0.94,0.002756,0.0,0.997244,Silent
0.98,0.002557,0.0,0.997443,Silent
1.02,0.002788,0.0,0.997212,Silent
1.05,0.002605,0.0,0.997395,Silent
1.09,0.002756,0.0,0.997244,Silent
1.13,0.002557,0.0,0.997443,Silent
1.16,0.002788,0.0,0.997212,Silent
1.20,0.002605,0.0,0.997395,Silent
1.24,0.002756,0.0,0.997244,Silent
1.27,0.002557,0.0,0.997443,Silent
1.31,0.002788,0.0,0.997212,Silent
1.34,0.002605,0.0,0.997395,Silent
1.38,0.002756,0.0,0.997244,Silent
1.42,0.002557,0.0,0.997443,Silent
1.45,0.002788,0.0,0.997212,Silent
1.49,0.002605,0.0,0.997395,Silent
1.53,0.002756,0.0,0.997244,Silent
1.56,0.002557,0.0,0.997443,Silent
1.60,0.002788,0.0,0.997212,Silent
1.64,0.002605,0.0,0.997395,Silent
1.67,0.002756,0.0,0.997244,Silent
1.71,0.002557,0.0,0.997443,Silent
1.74,0.002788,0.0,0.997212,Silent
1.78,0.002605,0.0,0.997395,Silent
1.82,0.002756,0.0,0.997244,Silent
1.85,0.002557,0.0,0.997443,Silent
1.89,0.002788,0.0,0.997212,Silent
1.93,0.002605,0.0,0.997395,Silent
1.96,0.002756,0.0,0.997244,Silent
